id,updated,published,title,summary,author,comment,link_alternate,link_related,primary_category,category,doi,journal_ref
http://arxiv.org/abs/2101.03082v1,2021-01-08T16:17:24Z,2021-01-08T16:17:24Z,"Timing techniques applied to distributed modular high-energy astronomy:
  the HERMES project","The HERMES-TP/SP (High Energy Rapid Modular Ensemble of Satellites --
Technologic and Scientific Pathfinder) is an in-orbit demonstration of the
so-called distributed astronomy concept. Conceived as a mini-constellation of
six 3U nano-satellites hosting a new miniaturized detector, HERMES-TP/SP aims
at the detection and accurate localisation of bright high-energy transients
such as Gamma-Ray Bursts. The large energy band, the excellent temporal
resolution and the wide field of view that characterize the detectors of the
constellation represent the key features for the next generation high-energy
all-sky monitor with good localisation capabilities that will play a pivotal
role in the future of Multi-messenger Astronomy. In this work, we will describe
in detail the temporal techniques that allow the localisation of bright
transient events taking advantage of their almost simultaneous observation by
spatially spaced detectors. Moreover, we will quantitatively discuss the
all-sky monitor capabilities of the HERMES Pathfinder as well as its achievable
accuracies on the localisation of the detected Gamma-Ray Bursts.","[{'name': 'A. Sanna'}, {'name': 'A. F. Gambino'}, {'name': 'L. Burderi'}, {'name': 'A. Riggio'}, {'name': 'T. Di Salvo'}, {'name': 'F. Fiore'}, {'name': 'M. Lavagna'}, {'name': 'R. Bertacin'}, {'name': 'Y. Evangelista'}, {'name': 'R. Campana'}, {'name': 'F. Fuschino'}, {'name': 'P. Lunghi'}, {'name': 'A. Monge'}, {'name': 'B. Negri'}, {'name': 'S. Pirrotta'}, {'name': 'S. Puccetti'}, {'name': 'the HERMES-TP'}, {'name': 'HERMES-SP Collaborations'}]","19 pages, 13 figures, Proceedings of SPIE Astronomical Telescopes and
  Instrumentation 2020",http://arxiv.org/abs/2101.03082v1,"['http://dx.doi.org/10.1117/12.2561758', 'http://arxiv.org/pdf/2101.03082v1']",astro-ph.HE,"['astro-ph.HE', 'astro-ph.IM']",10.1117/12.2561758,"Proceedings Volume 11444, Space Telescopes and Instrumentation
  2020: Ultraviolet to Gamma Ray; 114444X (2020)"
http://arxiv.org/abs/2308.09646v1,2023-08-18T16:06:41Z,2023-08-18T16:06:41Z,"Large Interferometer For Exoplanets (LIFE). X. Detectability of
  currently known exoplanets and synergies with future IR/O/UV
  reflected-starlight imaging missions","The next generation of space-based observatories will characterize the
atmospheres of low-mass, temperate exoplanets with the direct-imaging
technique. This will be a major step forward in our understanding of exoplanet
diversity and the prevalence of potentially habitable conditions beyond the
Earth. We compute a list of currently known exoplanets detectable with the
mid-infrared Large Interferometer For Exoplanets (LIFE) in thermal emission. We
also compute the list of known exoplanets accessible to a notional design of
the Habitable Worlds Observatory (HWO), observing in reflected starlight. With
a pre-existing method, we processed the NASA Exoplanet Archive and computed
orbital realizations for each known exoplanet. We derived their mass, radius,
equilibrium temperature, and planet-star angular separation. We used the
LIFEsim simulator to compute the integration time ($t_{int}$) required to
detect each planet with LIFE. A planet is considered detectable if a broadband
signal-to-noise ratio $S/N$=7 is achieved over the spectral range $4-18.5\mu$m
in $t_{int}\leq$100 hours. We tested whether the planet is accessible to HWO in
reflected starlight based on its notional inner and outer working angles, and
minimum planet-to-star contrast. LIFE's reference configuration (four 2-m
telescopes with 5% throughput and a nulling baseline between 10-100 m) can
detect 212 known planets within 20 pc. Of these, 55 are also accessible to HWO
in reflected starlight, offering a unique opportunity for synergies in
atmospheric characterization. LIFE can also detect 32 known transiting
exoplanets. Furthermore, 38 LIFE-detectable planets orbit in the habitable
zone, of which 13 with $M_p<5M_\oplus$ and 8 with $5M_\oplus<M_p<10M_\oplus$.
LIFE already has enough targets to perform ground-breaking analyses of
low-mass, habitable-zone exoplanets, a fraction of which will also be
accessible to other instruments.","[{'name': 'Óscar Carrión-González'}, {'name': 'Jens Kammerer'}, {'name': 'Daniel Angerhausen'}, {'name': 'Felix Dannert'}, {'name': 'Antonio García Muñoz'}, {'name': 'Sascha P. Quanz'}, {'name': 'Olivier Absil'}, {'name': 'Charles A. Beichman'}, {'name': 'Julien H. Girard'}, {'name': 'Bertrand Mennesson'}, {'name': 'Michael R. Meyer'}, {'name': 'Karl R. Stapelfeldt'}, {'name': 'The LIFE Collaboration'}]","Accepted for publication in A&A. 14 pages, 5 Tables, 5 Figures +
  Appendix",http://arxiv.org/abs/2308.09646v1,"['http://dx.doi.org/10.1051/0004-6361/202347027', 'http://arxiv.org/pdf/2308.09646v1']",astro-ph.EP,"['astro-ph.EP', 'astro-ph.IM']",10.1051/0004-6361/202347027,"A&A 678, A96 (2023)"
http://arxiv.org/abs/1303.5932v1,2013-03-24T09:40:20Z,2013-03-24T09:40:20Z,"Europium s-process signature at close-to-solar metallicity in stardust
  SiC grains from AGB stars","Individual mainstream stardust silicon carbide (SiC) grains and a
SiC-enriched bulk sample from the Murchison carbonaceous meteorite have been
analyzed by the Sensitive High Resolution Ion Microprobe - Reverse Geometry
(SHRIMP-RG) for Eu isotopes. The mainstream grains are believed to have
condensed in the outflows of 1.5 to 3 Msun carbon-rich asymptotic giant branch
(AGB) stars with close-to-solar metallicity. The 151Eu fractions [fr(151Eu) =
151Eu/(151Eu+153Eu)] derived from our measurements are compared with previous
astronomical observations of carbon-enhanced metal-poor (CEMP) stars enriched
in elements made by slow neutron captures (the s-process). Despite the
difference in metallicity between the parent stars of the grains and the
metal-poor stars, the fr(151Eu) values derived from our measurements agree well
with fr(151Eu) values derived from astronomical observations. We have also
compared the SiC data with theoretical predictions of the evolution of Eu
isotopic ratios in the envelope of AGB stars. Because of the low Eu abundances
in the SiC grains, the fr(151Eu) values derived from our measurements show
large uncertainties, being in most cases larger than the difference between
solar and predicted fr(151Eu) values. The SiC aggregate yields a fr(151Eu)
value within the range observed in the single grains and provides a more
precise result (fr(151Eu) = 0.54 +/- 0.03, 95 percent conf.), but is
approximately 12 percent higher than current s-process predictions. The AGB
models can match the SiC data if we use an improved formalism to evaluate the
contribution of excited nuclear states in the calculation of the 151Sm(n,g)
stellar reaction rate.","[{'name': 'Janaina N. Avila'}, {'name': 'Trevor R. Ireland'}, {'name': 'Maria Lugaro'}, {'name': 'Frank Gyngard'}, {'name': 'Ernst Zinner'}, {'name': 'Sergio Cristallo'}, {'name': 'Peter Holden'}, {'name': 'Thomas Rauscher'}]","19 pages, 4 figures, 1 table. Accepted for publication in the
  Astrophysical Journal Letters",http://arxiv.org/abs/1303.5932v1,"['http://dx.doi.org/10.1088/2041-8205/768/1/L18', 'http://arxiv.org/pdf/1303.5932v1']",astro-ph.SR,['astro-ph.SR'],10.1088/2041-8205/768/1/L18,Ap. J. Lett. 768 (2013) L18
http://arxiv.org/abs/0908.2534v2,2009-10-14T09:20:41Z,2009-08-18T09:59:36Z,"On the possibility of a maximum fundamental density and the elimination
  of gravitational singularities","With this note we want to point out that already in the early days of
cosmology it was understood that negative pressure could eliminate
gravitational singularities in a natural way e.g. E.B. Gliner, Sov. Phys. JETP
22(1966)378 and M.A. Markov, Pis'ma Zh. Eksp. Teor. Fiz. 36, No 6, 214-216 (20
Sept. 1982). Today, with the discovery of dark energy and the strong evidence
in favor of an inflationary start of the Big Bang, the existence of negative
pressure is widely accepted. In fundamental physics, phase transitions are
generally thought to be reversible (Cf. Ellis, New Astronomy Reviews Volume 46,
Issue 11, October 2002, P. 645). It seems likely then that if inflation has
occurred, the process should be reversible. I.e. when the increasing density in
a collapsing universe or star reaches a certain limit it should go through a
phase transition to a medium with an equation of state of the type $p=\omega
\rho$, where $-1< \omega <-1/3$. If this phase transition is fundamental, i.e.
occurs for all energy densities, a collapse will always reach a minimum radius
and bounce. If the phase transition is symmetric, the result will lead to
oscillating universes. If however the phase transition is associated with an
hysteresis effect, a collapsing star may, succeeding the bounce inflate into a
new universe with a subsequent phase transition becomes dominated by ordinary
relativistic matter. The aim of this note is study the time development of a
model which mimics this process.",{'name': 'Gustaf Rydbeck'},"5 pages, 2 figures. Replaced since the Abstract is updated and
  further references are included. There are also some minor changes in the
  text",http://arxiv.org/abs/0908.2534v2,http://arxiv.org/pdf/0908.2534v2,astro-ph.CO,['astro-ph.CO'],,
http://arxiv.org/abs/1112.2029v2,2012-04-06T03:29:45Z,2011-12-09T07:13:38Z,"Gamma-Ray Bursts: the Isotropic-Equivalent-Energy Function and the
  Cosmic Formation Rate","Gamma-ray bursts (GRBs) are brief but intense emission of soft $\gamma-$rays,
mostly lasting from a few seconds to a few thousand seconds. For such kind of
high energy transients, their isotropic-equivalent-energy ($E_{\rm iso}$)
function may be more scientifically meaningful when compared with GRB
isotropic-equivalent-luminosity function ($L_{\rm iso}$), as the traditional
luminosity function refers to steady emission much longer than a few thousand
seconds. In this work we for the first time construct the
isotropic-equivalent-energy function for a sample of 95 bursts with measured
redshifts ($z$) and find an excess of high-$z$ GRBs. Assuming that the excess
is caused by a GRB luminosity function evolution in a power-law form, we find a
cosmic evolution of $E_{\rm iso}\propto(1+z)^{1.80^{+0.36}_{-0.63}}$, which is
comparable to that between $L_{\rm iso}$ and $z$, i.e., $L_{\rm
iso}\propto(1+z)^{2.30^{+0.56}_{-0.51}}$ (both $1\sigma$). The
evolution-removed isotropic-equivalent-energy function can be reasonably fitted
by a broken power-law, in which the dim and bright segments are $\psi(E_{\rm
iso})\propto E_{\rm iso}^{-0.27\pm0.01}$ and $\psi(E_{\rm iso})\propto E_{\rm
iso}^{-0.87\pm0.07}$, respectively ($1\sigma$). For the cosmic GRB formation
rate, it increases quickly in the region of $0 \leq z \lesssim 1$, and roughly
keeps constant for $1\lesssim z \lesssim 4$, and finally falls with a power
index of $-3.80\pm2.16$ for $z\gtrsim 4$, in good agreement with the observed
cosmic star formation rate so far.","[{'name': 'Shi-Wei Wu'}, {'name': 'Dong Xu'}, {'name': 'Fu-Wen Zhang'}, {'name': 'Da-Ming Wei'}]","6 pages, 10 figures. Accepted for publication in MNRAS",http://arxiv.org/abs/1112.2029v2,"['http://dx.doi.org/10.1111/j.1365-2966.2012.21068.x', 'http://arxiv.org/pdf/1112.2029v2']",astro-ph.HE,['astro-ph.HE'],10.1111/j.1365-2966.2012.21068.x,
http://arxiv.org/abs/1804.06908v1,2018-04-18T20:28:19Z,2018-04-18T20:28:19Z,"The Connection Between Different Tracers Of The Diffuse Interstellar
  Medium: Kinematics","Using visible, radio, microwave, and sub-mm data, we study several lines of
sight toward stars generally closer than 1 kpc on a component-by-component
basis. We derive the component structure seen in absorption at visible
wavelengths from Ca II, Ca I, K I, CH, CH$^{+}\!,$ and CN and compare it to
emission from H I, CO and its isotopologues, and C$^{+}$ from the GOT C+
survey. The correspondence between components in emission and absorption help
create a more unified picture of diffuse atomic and molecular gas in the
interstellar medium. We also discuss how these tracers are related to the
CO-dark H$_{2}$ gas probed by C$^{+}$ emission and discuss the kinematic
connections among the species observed.","[{'name': 'Johnathan S. Rice'}, {'name': 'S. R. Federman'}, {'name': 'Nicolas Flagey'}, {'name': 'Paul F. Goldsmith'}, {'name': 'William D. Langer'}, {'name': 'Jorge L. Pineda'}, {'name': 'D. L. Lambert'}]",To be published in ApJ,http://arxiv.org/abs/1804.06908v1,"['http://dx.doi.org/10.3847/1538-4357/aabae7', 'http://arxiv.org/pdf/1804.06908v1']",astro-ph.GA,"['astro-ph.GA', 'astro-ph.SR']",10.3847/1538-4357/aabae7,
http://arxiv.org/abs/2003.06011v1,2020-03-12T20:42:25Z,2020-03-12T20:42:25Z,"Performance limits of adaptive-optics/high-contrast imagers with pyramid
  wave-front sensors","Advanced AO systems will likely utilise Pyramid wave-front sensors (PWFS)
over the traditional Shack-Hartmann sensor in the quest for increased
sensitivity, peak performance and ultimate contrast. Here, we wish to bring
knowledge and quantify the PWFS theoretical limits as a means to highlight its
properties and use cases.
  We explore forward models for the PWFS in the spatial-frequency domain for
they prove quite useful since a) they emanate directly from physical-optics
(Fourier) diffraction theory; b) provide a straightforward path to meaningful
error breakdowns, c) allow for reconstruction algorithms with $O (n\,log(n))$
complexity for large-scale systems and d) tie in seamlessly with decoupled
(distributed) optimal predictive dynamic control for performance and contrast
optimisation. All these aspects are dealt with here. We focus on recent
analytical PWFS developments and demonstrate the performance using both
analytic and end-to-end simulations.
  We anchor our estimates with observed on-sky contrast on existing systems and
then show very good agreement between analytical and Monte-Carlo estimates for
the PWFS. For a potential upgrade of existing high-contrast imagers on
10\,m-class telescopes with visible or near-infrared PWFS, we show under median
conditions at Paranal a contrast improvement (limited by chromatic and
scintillation effects) of 2x-5x by replacing the wave-front sensor alone at
large separations close to the AO control radius where aliasing dominates, and
factors in excess of 10x by coupling distributed control with the PWFS over
most of the AO control region, from small separations starting with the Inner
Working Angle of typically 1-2 $\lambda/D$ to the AO correction edge (here 20
$\lambda/D$).","[{'name': 'Carlos M. Correia'}, {'name': 'Olivier Fauvarque'}, {'name': 'Charlotte Z. Bond'}, {'name': 'Vincent Chambouleyron'}, {'name': 'Jean-Francois Sauvage'}, {'name': 'Thierry Fusco'}]","12 pages, 13 figures",http://arxiv.org/abs/2003.06011v1,"['http://dx.doi.org/10.1093/mnras/staa843', 'http://arxiv.org/pdf/2003.06011v1']",astro-ph.IM,['astro-ph.IM'],10.1093/mnras/staa843,
http://arxiv.org/abs/1108.3344v2,2011-10-18T09:36:13Z,2011-08-16T20:05:12Z,"An examination of magnetized outflows from active galactic nuclei in
  galaxy clusters","We present 3D adaptive mesh refinement MHD simulations of an isolated galaxy
cluster that include injection of kinetic, thermal, and magnetic energy via a
central active galactic nucleus (AGN) in order to study and evaluate the role
that AGN may play in producing the observed cluster-wide magnetic fields. Using
the MHD solver in FLASH 3.3, we compare several sub-resolution approaches to
the evolution of AGN, specifically focusing on large-scale jet and bubble
models. We examine the effects of magnetized outflows on the accretion history
of the black hole and cluster thermodynamic properties, discuss the ability of
various models to magnetize the cluster medium, and assess the sensitivity of
these models to their underlying subgrid parameters. We find that magnetized
jet-based models suffer a severe reduction in accretion rate compared to
hydrodynamic jets; however, bubble models remain largely unaffected. While both
jets and sporadically-placed bubbles have difficulty reproducing the observed
strength and topology of cluster magnetic fields, models based on
centrally-located bubbles come closest to observations. Finally, whereas jet
models are relatively insensitive to changes in their subgrid parameters, the
accretion rate and average magnetic field produced by the bubbles vary by as
much as an order of magnitude depending on the grid resolution and accretion
strength.","[{'name': 'P. M. Sutter'}, {'name': 'H. -Y. Yang'}, {'name': 'P. M. Ricker'}, {'name': 'G. Foreman'}, {'name': 'D. Pugmire'}]","24 pages, 26 figures, 8 tables. Slight adjustments from referee
  comments. MNRAS accepted",http://arxiv.org/abs/1108.3344v2,"['http://dx.doi.org/10.1111/j.1365-2966.2011.19875.x', 'http://arxiv.org/pdf/1108.3344v2']",astro-ph.CO,['astro-ph.CO'],10.1111/j.1365-2966.2011.19875.x,
http://arxiv.org/abs/1401.4738v1,2014-01-19T21:08:50Z,2014-01-19T21:08:50Z,Planetary internal structures,"This chapter reviews the most recent advancements on the topic of terrestrial
and giant planet interiors, including Solar System and extrasolar objects.
Starting from an observed mass-radius diagram for known planets in the
Universe, we will discuss the various types of planets appearing in this
diagram and describe internal structures for each type. The review will
summarize the status of theoretical and experimental works performed in the
field of equation of states (EOS) for materials relevant to planetary interiors
and will address the main theoretical and experimental uncertainties and
challenges. It will discuss the impact of new EOS on interior structures and
bulk composition determination. We will discuss important dynamical processes
which strongly impact the interior and evolutionary properties of planets (e.g
plate tectonics, semiconvection) and describe non standard models recently
suggested for our giant planets. We will address the case of short-period,
strongly irradiated exoplanets and critically analyse some of the physical
mechanisms which have been suggested to explain their anomalously large radius.","[{'name': 'I. Baraffe'}, {'name': 'G. Chabrier'}, {'name': 'J. Fortney'}, {'name': 'C. Sotin'}]","24 pages, 8 figures, Accepted for publication as a chapter in
  Protostars and Planets VI, University of Arizona Press (2014), eds. H.
  Beuther, R. Klessen, C. Dullemond, Th. Henning.""",http://arxiv.org/abs/1401.4738v1,"['http://dx.doi.org/10.2458/azu_uapress_9780816531240-ch033', 'http://arxiv.org/pdf/1401.4738v1']",astro-ph.EP,['astro-ph.EP'],10.2458/azu_uapress_9780816531240-ch033,
http://arxiv.org/abs/1608.00983v2,2016-09-06T13:29:26Z,2016-08-02T20:02:28Z,"NICIL: A stand alone library to self-consistently calculate non-ideal
  magnetohydrodynamic coefficients in molecular cloud cores","In this paper, we introduce Nicil: Non-Ideal magnetohydrodynamics
Coefficients and Ionisation Library. Nicil is a stand-alone Fortran90 module
that calculates the ionisation values and the coefficients of the non-ideal
magnetohydrodynamics terms of Ohmic resistivity, the Hall effect, and ambipolar
diffusion. The module is fully parameterised such that the user can decide
which processes to include and decide upon the values of the free parameters,
making this a versatile and customisable code. The module includes both cosmic
ray and thermal ionisation; the former includes two ion species and three
species of dust grains (positively charged, negatively charged and neutral),
and the latter includes five elements which can be doubly ionised. We
demonstrate tests of the module, and then describe how to implement it into an
existing numerical code.",{'name': 'James Wurster'},"13 pgs; accepted to PASA; source code for NICIL:
  https://bitbucket.org/jameswurster/nicil ; Corrected typos in eqn 47 and in
  initial conditions of section 4",http://arxiv.org/abs/1608.00983v2,"['http://dx.doi.org/10.1017/pasa.2016.34', 'http://arxiv.org/pdf/1608.00983v2']",astro-ph.IM,"['astro-ph.IM', 'astro-ph.SR']",10.1017/pasa.2016.34,
